Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID,Vehicle Type
ACTIVE,TOYOTA,PRIUS,2013,CREAM/BLUE,Hybrid,N,RAPHEW AZEEZ,CHICAGO,IL,60652,Blue Diamond Taxi Affil Inc,Owner Manager,156Taxi,Taxi
ACTIVE,TOYOTA,CAMRY,2015,BLUE/WHITE,Hybrid,N,SIMRET INCORPORATED,CHICAGO,IL,60641,Sun Taxi Association Inc,Owner Manager,2458Taxi,Taxi
VIOLATION,DODGE,CARAVAN,2016,WHITE,Gasoline,Y,SILKY CAB CORP.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,1655Taxi,Taxi
ACTIVE,TOYOTA,PRIUS,2013,GREEN,Hybrid,N,NECT 39 LLC,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",977Taxi,Taxi
ACTIVE,TOYOTA,CAMRY,2014,WHITE/BLUE/STRIPES,Hybrid,N,STANDARD TAXI CORP. #III,CHICAGO,IL,60646,Blue Ribbon Assn Inc,"Cab Management Group, Inc.",1045Taxi,Taxi
VIOLATION,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,"BMDN TRANS, INC.",CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,618Taxi,Taxi
ACTIVE,BMW,X7,2021,BLACK,Gasoline,N,AEMIR LLC,CHICAGO,IL,60630,none,none,70348Livery,Livery
ACTIVE,VOLVO,S90,2023,BLACK,Gasoline,N,WINDY CITY LIMOUSINE COMPANY LLC,CHICAGO,IL,60630,none,none,7978Livery,Livery
VIOLATION,AUDI,A6,2017,BLACK,Gasoline,N,PEDRO SANCHEZ ZAMUDIO JR,CHICAGO,IL,60610,none,none,70149Livery,Livery
VIOLATION,TOYOTA,PRIUS,2014,WHITE,Hybrid,N,"LMB TAXI V, INC.",CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,3749Taxi,Taxi
VIOLATION,FORD,FUSION,2015,YELLOW,Hybrid,N,MR TAXI 2 INC,CHICAGO,IL,60641,Yellow Cab Association,Owner Manager,129Taxi,Taxi
VIOLATION,VPG,MV-1,2014,WHITE,Flex Fuel,Y,WIL-MAR CAB CO,CHICAGO,IL,60657,Flash Cab Co,Chicago Taxicab Management Inc.,2592Taxi,Taxi
ACTIVE,FORD,EXPEDITION XLT MAX,2023,BLACK,Gasoline,N,SIMON'S LIMOUSINE INC.,CHICAGO,IL,60630,none,none,71079Livery,Livery
INACTIVE,MERCEDES,SPRINTER,2015,SILVER,Gasoline,N,XL TRANSPORTATION LTD,CHICAGO,IL,60637,none,none,18282Charter Sightseeing,Charter Sightseeing
ACTIVE,VOLVO,S90,2023,BLACK,Gasoline,N,DDSSBOS LLC,CHICAGO,IL,60608,none,none,8035Livery,Livery
ACTIVE,LINCOLN,NAVIGATOR,2022,BLACK,Gasoline,N,ARSH CORP,CHICAGO,IL,60659,none,none,7832Livery,Livery
